strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
6eaee686,bear,s85|s101|s20|s23,4,0.045372,0.016196,29.939,0.0,-15.2677,67,40.2985,2.66,0.0,-9.9571,23,34.7826,0.039154,0.0003,0.0832,0.0,0.0,0.4912,0.5376
63bf3bcc,bear,s77|s66|s51|s13,4,0.031312,0.010906,19.4408,0.0,-5.2376,43,46.5116,7.2889,0.0,-5.4827,20,45.0,0.059083,0.0,0.0832,0.0,0.0,0.7412,0.5376
bddd3747,bear,s18|s100|s62|s13|s66,5,0.056992,0.019412,34.0869,0.0,-21.6902,58,37.931,5.8436,0.0,-12.0946,26,34.6154,0.047287,0.0003,0.0832,0.0,0.0,0.5932,0.5376
c9cf76ee,bull,s91|s73|s92,3,0.051442,0.015416,32.8885,0.0,-12.4009,73,35.6164,8.1733,0.0,-9.5981,13,38.4615,0.031014,0.0001,0.0832,0.0,0.0,0.3891,0.5376
e637adde,bear,s28|s16|s81|s51|s22,5,0.049761,0.019482,32.1375,0.0,-9.2958,37,45.9459,19.8958,0.0,-7.5799,12,58.3333,0.055642,0.0,0.0832,0.0,0.0,0.6981,0.5376
6dbda851,bear,s25|s23|s62|s98|s86,5,0.066199,0.016296,39.4758,0.0,-25.5293,72,30.5556,13.9744,0.0,-15.8792,29,31.0345,0.058791,0.0001,0.0832,0.0,0.0,0.7376,0.5376
f28d7705,bear,s86|s49|s16|s62,4,0.060267,0.012092,33.707,0.0,-16.6922,68,29.4118,13.1086,0.0,-11.5401,27,29.6296,0.05762,0.0,0.0832,0.0,0.0,0.7229,0.5376
81b2d8e6,bear,s50|s22|s66|s37,4,0.021987,0.012855,11.2847,0.0,-10.163,57,54.386,3.406,0.0,-6.04,16,56.25,0.052561,0.0,0.0832,0.0,0.0,0.6594,0.5376
c1e781bf,bear,s89|s81|s13|s57,4,0.024417,0.009728,14.1124,0.0,-5.459,47,48.9362,9.4439,0.0,-4.2907,13,61.5385,0.054475,0.0,0.0832,0.0,0.0,0.6834,0.5376
922d73be,bear,s67|s13|s61|s81,4,0.05644,0.018636,40.0837,0.0,-13.0338,40,42.5,6.6904,0.0,-8.9357,13,38.4615,0.029988,0.0004,0.0832,0.0,0.0,0.3762,0.5376
6ec1a1cb,bear,s25|s19|s23|s81,4,0.074806,0.015335,41.6478,0.0,-20.149,82,26.8293,10.716,0.0,-14.4578,26,26.9231,0.041735,0.0003,0.0832,0.0,0.0,0.5236,0.5376
c4251bbb,bear,s67|s13|s89|s50,4,0.021279,0.010494,9.8286,0.0,-7.9553,48,52.0833,13.1003,0.0,-3.2278,11,81.8182,0.063398,0.0,11.3258,0.0,0.0,0.7954,0.5376
b8b0e0ef,bull,s83|s79|s74|s6,4,0.069564,0.013541,36.6273,0.0,-11.2043,46,30.4348,12.3953,0.0,-6.2821,16,31.25,0.039835,0.0,0.0832,0.0,0.0,0.4998,0.5376
38203adc,bear,s100|s62|s77|s13,4,0.053617,0.019432,26.9618,0.0,-16.4069,45,40.0,12.0692,0.0,-6.7754,23,39.1304,0.066857,0.0,0.0832,0.0,0.0,0.8388,0.5376
e75d6348,bear,s23|s18,2,0.061885,0.019345,24.9993,0.0,-16.228,70,34.2857,18.5694,0.0,-11.5311,23,39.1304,0.072255,0.0,0.0832,0.0,0.0,0.9065,0.5376
471522fd,bear,s80|s25|s23|s67,4,0.041413,0.019527,23.3374,0.0,-11.0249,58,46.5517,0.5013,0.0,-12.4187,15,40.0,0.025425,0.0002,0.0832,0.0,0.0,0.319,0.5376
ca57753b,bear,s62|s18|s22|s100|s49,5,0.047362,0.017287,29.5313,0.0,-22.005,56,41.0714,7.4919,0.0,-8.5557,20,40.0,0.04972,0.0,0.0832,0.0,0.0,0.6238,0.5376
eea9f5f2,bear,s57|s17|s37|s23,4,0.045289,0.015302,27.2815,0.0,-12.297,73,38.3562,2.783,0.0,-11.6022,23,34.7826,0.03711,0.0002,0.0832,0.0,0.0,0.4656,0.5376
9af63b0a,bear,s76|s13|s20|s89,4,0.025492,0.014074,15.7029,0.0,-11.2765,84,50.0,1.3311,0.0,-9.6283,19,47.3684,0.045047,0.0,0.0832,0.0,0.0,0.5651,0.5376
