id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
9d6df729,bear,s17|s61|s26,3,0.0674237834,0.0104094688,30.059,0.0,-17.6785,50,26.0,0.145201,-6.01,0.0,-9.6455,20,15.0,-0.003191
4d1361c4,bull,s73|s33|s78|s94|s59,5,0.0777607692,0.0190425556,43.4961,0.0,-10.9554,29,37.931,0.147848,-8.8558,0.0,-12.5644,4,0.0,-0.005849
e786f7cb,bull,s33|s60|s21|s48,4,0.0741144022,0.0186684206,52.6796,0.0,-4.9387,21,47.619,0.142279,-2.257,0.0,-2.257,1,0.0,-0.000316
1182571b,bull,s94|s14|s42|s87,4,0.0588804466,0.0196042523,25.1509,0.0,-26.1641,65,35.3846,0.128265,8.5802,0.0,-3.8503,3,66.6667,0.013366
2912bb60,bull,s94|s83|s41,3,0.065017404,0.0196095493,31.3118,0.0,-29.4154,79,32.9114,0.135735,3.5812,0.0,-6.3318,2,50.0,0.005813
ac8d8429,bull,s30|s45|s75|s15|s43,5,0.0596776423,0.0148162314,23.5513,0.0,-14.0328,62,30.6452,0.144042,-7.546,0.0,-7.6476,8,12.5,-0.0025
08b66332,bull,s54|s94|s74|s30,4,0.0425830982,0.0183499602,13.1336,0.0,-14.554,48,41.6667,0.128518,5.4082,0.0,-3.7362,3,66.6667,0.012625
f9fcb74f,bull,s21|s9|s78|s83|s1,5,0.0627171192,0.0180598122,25.25,0.0,-14.8068,61,32.7869,0.15494,-13.8502,0.0,-14.9555,10,10.0,-0.014053
7b8aa5f8,bull,s78|s33|s14|s93,4,0.0452923429,0.018656486,16.8937,0.0,-18.55,54,40.7407,0.134147,-3.3078,0.0,-8.7182,7,28.5714,0.006486
56f335ef,bear,s90|s80|s86|s19|s99,5,0.0597157141,0.0188728015,28.4005,0.0,-16.8681,36,38.8889,0.129358,-5.7383,0.0,-14.929,36,27.7778,0.011227
e3cbd27a,bull,s87|s11|s42|s21,4,0.0593397725,0.0189825815,29.319,0.0,-8.8455,32,40.625,0.136073,-1.5678,0.0,-4.5191,4,25.0,0.004414
06b25e42,bull,s54|s39|s59|s35,4,0.0358628548,0.0171492011,19.5735,0.0,-13.9529,36,50.0,0.134233,-4.2927,0.0,-8.1468,7,28.5714,0.006174
f64ddd97,bull,s21|s48|s64|s14,4,0.0634189522,0.0109149405,39.4776,0.0,-9.9355,31,35.4839,0.145424,-7.2048,0.0,-7.2048,5,0.0,-0.005043
608552a9,bull,s21|s73|s70,3,0.0587600678,0.0116926857,35.2243,0.0,-15.8991,42,33.3333,0.162288,-14.0634,0.0,-14.5597,14,7.1429,-0.021981
f4faee1f,bull,s14|s2|s21|s95,4,0.0782354339,0.0164792418,43.6476,0.0,-8.4853,27,37.037,0.140533,-2.0327,0.0,-2.0327,1,0.0,-0.000285
