id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
8ad8023b,bear,s19|s20|s66|s81,4,0.0674843561,0.0191137597,51.3092,0.0,-9.8782,25,48.0,0.159801
15864bf0,bear,s57|s80|s67|s23|s22,5,0.054153548,0.0141616606,25.1765,0.0,-14.9193,52,34.6154,0.159794
f56b1a17,bear,s71|s31|s23|s37,4,0.0631807382,0.0164535589,31.5942,0.0,-9.7938,39,35.8974,0.159656
fdbeef24,bull,s39|s53|s59|s73,4,0.0554213535,0.0165811411,26.2713,0.0,-15.1922,81,33.3333,0.159508
e6092327,bear,s13|s100|s20|s76,4,0.0642118254,0.0098460398,31.2054,0.0,-14.353,58,25.8621,0.159349
337d29cf,bear,s72|s89|s51|s67|s81,5,0.0609447264,0.0147529613,31.1647,0.0,-19.5606,48,33.3333,0.159338
11c6d683,bear,s13|s89|s97|s50,4,0.0276743329,0.0113512178,13.7454,0.0,-11.0761,49,46.9388,0.159318
ac2cf645,bull,s70|s92|s87|s74,4,0.0774166081,0.0172702983,35.6525,0.0,-21.3421,97,26.8041,0.158996
6ac71b28,bear,s23|s89|s25|s67|s22,5,0.0676043899,0.0187026895,35.0354,0.0,-13.8404,38,36.8421,0.158951
66bd4fb6,bull,s87|s38|s55,3,0.066908687,0.0169083805,33.2293,0.0,-21.476,83,30.1205,0.158851
76f32bb8,bear,s13|s66|s89,3,0.0275299679,0.0137711738,13.2701,0.0,-12.3641,63,47.619,0.158845
9b6852f4,bear,s51|s77|s66|s101,4,0.0249622397,0.0154584712,10.8615,0.0,-13.3613,85,51.7647,0.158656
7b0692e1,bull,s87|s12|s55|s47,4,0.0439828379,0.0197760291,23.9767,0.0,-13.4493,40,47.5,0.158447
8df4f26f,bear,s18|s76|s22|s71|s49,5,0.0612228206,0.0130165967,30.7613,0.0,-12.2131,43,32.5581,0.158309
88bf91f9,bear,s80|s101|s67|s51,4,0.0256934322,0.0143427341,8.6001,0.0,-8.723,62,50.0,0.158231
d3306272,bear,s25|s23|s98,3,0.045611442,0.0152036938,28.0622,0.0,-22.4111,85,37.6471,0.157957
fe5149af,bear,s22|s29|s20|s100|s98,5,0.0457441694,0.0152334166,28.9331,0.0,-23.1389,86,37.2093,0.157944
7db2d488,bear,s76|s22|s81|s50,4,0.0622056267,0.016339751,50.1464,0.0,-9.6484,25,48.0,0.15782
ef2dbe95,bull,s92|s68|s9|s87,4,0.0724662414,0.0177270419,30.686,0.0,-18.6777,56,30.3571,0.157782
7c8e4151,bear,s50|s97|s22|s81|s89,5,0.0621104391,0.0122557943,40.8573,0.0,-9.8002,32,37.5,0.157778
ebf2db25,bear,s13|s23|s98|s81|s50,5,0.070456045,0.0174646661,26.4063,0.0,-13.0463,56,30.3571,0.157558
00964122,bear,s23|s20|s80|s98,4,0.0405500913,0.0181170278,17.1892,0.0,-14.3704,66,43.9394,0.157464
3e65e2b0,bear,s49|s71|s22|s77|s23,5,0.0415988257,0.0156750335,20.5034,0.0,-14.3801,48,41.6667,0.157318
c7080b00,bear,s19|s76|s37|s71,4,0.0765447101,0.0146013778,33.5371,0.0,-12.4265,44,27.2727,0.157245
cf634e6b,bull,s21|s53|s63|s14,4,0.0375662842,0.0173038642,14.2474,0.0,-10.8226,59,44.0678,0.156725
f437c177,bull,s63|s78|s10|s59,4,0.0566468207,0.0117842736,28.3749,0.0,-14.2168,77,28.5714,0.156563
d1f7808f,bear,s50|s86|s71|s22,4,0.051658517,0.0170464338,22.7588,0.0,-15.9044,53,37.7358,0.156529
419fb185,bear,s25|s97|s37|s23|s71,5,0.029148763,0.0149219818,13.2339,0.0,-13.0996,63,47.619,0.156494
4ff4cec3,bear,s66|s13|s71|s76|s25,5,0.0239585103,0.0092013066,10.4444,0.0,-6.8842,71,45.0704,0.156336
5c90f5a4,bear,s49|s16|s100|s62,4,0.0345867076,0.0122032802,16.5956,0.0,-9.2622,47,42.5532,0.15628
7ccde77a,bull,s59|s95|s73|s35,4,0.0407269348,0.0177612765,20.8706,0.0,-19.2836,62,43.5484,0.156277
a3ea09c4,bear,s100|s28|s18|s62|s13,5,0.0359961421,0.0126459723,21.0711,0.0,-14.8303,98,38.7755,0.15612
855d12ff,bull,s83|s39|s93,3,0.0505116964,0.0161322048,21.4971,0.0,-12.3275,49,36.7347,0.156026
37ae3abd,bear,s29|s51|s17|s20,4,0.0452146683,0.0170397955,26.372,0.0,-21.4237,110,38.1818,0.155762
e14a831a,bear,s100|s62|s20|s67|s51,5,0.0366157345,0.0126007721,18.0063,0.0,-11.5243,71,39.4366,0.155762
