id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
eab69681,bull,s11|s21|s68,3,0.0665209527,0.0147253505,36.9209,0.0,-13.9731,38,34.2105,0.158381
a3e4d2d9,bull,s78|s10|s8|s93,4,0.0516865342,0.016388151,22.7313,0.0,-12.901,65,35.3846,0.158376
bf48f188,bull,s21|s59|s34|s8,4,0.0515364423,0.0177366952,22.1059,0.0,-14.7979,50,38.0,0.15803
21882150,bull,s21|s33|s8|s48,4,0.0498132656,0.0173654576,29.6781,0.0,-6.3265,34,44.1176,0.157818
4ce9023f,bull,s87|s8|s4|s21,4,0.0590713872,0.0112882436,27.2433,0.0,-10.1721,47,29.7872,0.157749
a7abbc17,bull,s15|s10|s48|s4,4,0.0649401858,0.0187164968,32.213,0.0,-21.9885,95,31.5789,0.157623
98d18bfb,bear,s18|s99|s81|s85|s29,5,0.0786400078,0.0184935823,40.5912,0.0,-13.3567,35,34.2857,0.157606
18ac2e4a,bull,s64|s95|s21|s9,4,0.0646719489,0.0157102582,27.4658,0.0,-14.6608,59,30.5085,0.157406
542ac2ac,bull,s78|s5|s35|s59|s47,5,0.0617708305,0.0198398637,25.7397,0.0,-16.9385,57,35.0877,0.157406
6d773d48,bull,s43|s94|s82|s47,4,0.050194824,0.0185941001,24.0761,0.0,-19.2907,53,39.6226,0.1573
d95c9f4d,bull,s70|s54|s35|s30,4,0.0548926059,0.0153679587,28.3386,0.0,-19.3571,65,33.8462,0.156822
e02e63a5,bull,s94|s91|s45,3,0.0367900197,0.0191751243,19.1682,0.0,-18.6992,97,45.3608,0.156658
d0adc47d,bull,s87|s82|s45|s2|s54,5,0.0619134362,0.0188548146,40.1103,0.0,-9.9454,30,43.3333,0.156363
62e12a26,bull,s95|s24|s36|s21,4,0.074474288,0.0115934252,48.5643,0.0,-7.5201,28,35.7143,0.15615
1a16437a,bull,s33|s73|s21,3,0.0432058531,0.0152668757,22.7576,0.0,-7.7918,40,42.5,0.156124
4bc1ef77,bull,s69|s21|s78|s2,4,0.0676077404,0.019525646,28.0571,0.0,-16.0947,47,34.0426,0.156108
ea1066a7,bull,s47|s64|s96|s78,4,0.0481112659,0.0185273311,24.1951,0.0,-20.5759,57,40.3509,0.156105
75f11615,bear,s86|s99|s101|s89,4,0.0441262332,0.017565084,22.9279,0.0,-11.0669,41,43.9024,0.155979
505d1a6e,bull,s2|s15|s93|s42,4,0.0677502404,0.0104633441,36.6591,0.0,-21.2992,78,24.359,0.155816
83a88317,bull,s75|s88|s21|s96|s68,5,0.0633473497,0.0127137381,53.6602,0.0,-6.4902,23,47.8261,0.155778
7acc879f,bull,s21|s43|s96|s54|s30,5,0.0584044059,0.0123833016,26.0774,0.0,-11.429,70,28.5714,0.155737
fe04d258,bull,s96|s54|s59,3,0.0411554499,0.0132243612,28.7009,0.0,-9.8531,35,45.7143,0.155671
3f4fc4e2,bull,s59|s32|s54|s9,4,0.0391731684,0.0155075915,31.757,0.0,-9.3413,30,53.3333,0.155402
7b5b12ac,bull,s10|s92|s58|s38|s96,5,0.0693112925,0.0190924303,34.4838,0.0,-24.118,117,29.9145,0.155325
b5aeae2c,bull,s36|s54|s94|s21,4,0.0595921784,0.0141738101,42.469,0.0,-7.0387,28,42.8571,0.155305
f5e0712e,bull,s45|s96|s64|s21,4,0.0729610828,0.0171547323,35.8726,0.0,-8.1642,35,34.2857,0.155298
0b9f7083,bull,s21|s6|s95|s54|s7,5,0.0663293212,0.0166822966,26.7363,0.0,-12.5201,47,31.9149,0.155222
1054c4e8,bull,s44|s54|s3|s14,4,0.073457483,0.0189803654,29.8471,0.0,-17.3273,82,29.2683,0.155211
3161bc35,bull,s36|s24|s78|s73,4,0.0787815406,0.0186195703,29.2167,0.0,-16.6506,51,29.4118,0.15515
f9fcb74f,bull,s21|s9|s78|s83|s1,5,0.0627171192,0.0180598122,25.25,0.0,-14.8068,61,32.7869,0.15494
0ef11881,bear,s61|s86|s90|s19|s71,5,0.0651596613,0.0194349448,34.6627,0.0,-19.1869,40,37.5,0.154872
25f22b91,bull,s73|s96|s91|s21|s35,5,0.0620925453,0.0192669006,32.7848,0.0,-24.6077,117,32.4786,0.154752
2082d499,bull,s73|s10|s70|s21,4,0.0788024098,0.010670767,46.1316,0.0,-13.681,33,30.303,0.154699
328e327c,bull,s78|s39|s33|s47,4,0.0566051181,0.0178750709,26.5676,0.0,-19.582,49,36.7347,0.154574
61ba32e9,bull,s21|s5|s78|s39,4,0.0543006072,0.0170194267,22.2615,0.0,-13.1813,60,35.0,0.154502
ff7e588d,bull,s73|s53|s58|s78,4,0.0621166858,0.0194215694,33.8353,0.0,-11.6139,35,40.0,0.15435
85307553,bull,s78|s59|s96|s92|s11,5,0.0548044352,0.0198835161,27.2834,0.0,-23.8749,54,38.8889,0.154176
997b53fa,bull,s21|s10|s30|s96,4,0.0679161245,0.0153323011,28.5857,0.0,-16.0357,58,29.3103,0.154167
1c30402f,bear,s99|s86|s17|s101,4,0.0420305595,0.0174016298,16.2567,0.0,-11.8144,53,41.5094,0.154112
0578097c,bull,s78|s21|s74|s84,4,0.0508576828,0.0171742387,29.3638,0.0,-8.6237,35,42.8571,0.154109
20589bdb,bull,s11|s83|s21|s59|s74,5,0.0736932884,0.0104698849,44.1434,0.0,-8.3326,31,32.2581,0.153977
2b847171,bull,s34|s21|s5|s94,4,0.0631177501,0.0189602637,31.6968,0.0,-25.3633,61,34.4262,0.153976
84d878cd,bull,s95|s7|s11|s78,4,0.0580084719,0.0165614615,22.0467,0.0,-10.9473,61,32.7869,0.153706
b360ce9a,bull,s21|s35|s7|s59|s68,5,0.0463384185,0.0155417807,21.7215,0.0,-16.1999,52,38.4615,0.153671
b77a428c,bull,s21|s47|s34|s7|s68,5,0.0382927444,0.0184330548,16.0504,0.0,-14.6801,63,44.4444,0.153495
d1ec285b,bull,s33|s1|s54|s78,4,0.0447282786,0.0190419719,18.6499,0.0,-15.5485,55,41.8182,0.153409
8e6d0e26,bull,s63|s21|s36|s24|s87,5,0.0770560848,0.015962007,39.1298,0.0,-8.066,33,33.3333,0.153332
ac635128,bull,s47|s78|s69|s14,4,0.0574636734,0.0186507572,22.5286,0.0,-15.0079,50,36.0,0.153091
e596276a,bull,s87|s60|s21,3,0.072400232,0.0141404288,37.1814,0.0,-14.0529,38,31.5789,0.152991
8c3b3a8d,bull,s48|s64|s21,3,0.0620426501,0.0186243839,23.783,0.0,-14.738,53,33.9623,0.152805
89e14f2c,bull,s21|s9|s63|s33,4,0.0441802257,0.0170132499,25.2906,0.0,-6.7226,35,45.7143,0.152696
9db5bbe8,bull,s32|s54|s4|s59,4,0.0456072677,0.0172920768,30.1189,0.0,-12.4717,34,47.0588,0.152481
7ca024f2,bear,s99|s86|s66|s101|s81,5,0.0707310784,0.0118373131,32.37,0.0,-11.9698,43,27.907,0.152471
