id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
1305fbc5,bear,s49|s86|s29|s72,4,0.0298440267,0.0089857085,7.6349,0.0,-8.782,42,38.0952,0.099523,-8.6316,0.0,-8.6316,7,0.0,-0.008459
103d7f05,bear,s49|s16|s89|s31|s29,5,0.0317572951,0.0196606124,9.4504,0.0,-8.9854,30,53.3333,0.102507,-12.6675,0.0,-15.1698,6,0.0,-0.011542
17f88e31,bear,s62|s37|s66|s81|s16,5,0.0271505651,0.009808395,8.8964,0.0,-7.5043,33,45.4545,0.098628,-9.2948,0.0,-10.424,10,10.0,-0.00769
4cba1a75,bear,s89|s56|s86|s28|s29,5,0.0244280865,0.0110993422,-0.0185,0.0,-10.284,51,43.1373,0.098486,-8.5734,0.0,-9.6658,6,0.0,-0.007595
db3b5620,bear,s20|s86|s17|s50|s99,5,0.032425716,0.0188183374,7.1944,0.0,-10.7478,34,50.0,0.099643,-12.3692,0.0,-14.2901,8,12.5,-0.008776
ec089880,bear,s62|s81|s101|s20,4,0.0250280343,0.0136468452,2.6342,0.0,-11.457,42,47.619,0.099979,-11.3809,0.0,-12.8342,9,11.1111,-0.009125
2d21d9b1,bear,s76|s25|s37|s71|s52,5,0.028050261,0.0088795013,5.1931,0.0,-13.1416,54,37.037,0.092459,-6.2995,0.0,-7.602,8,12.5,-0.001681
23289b9c,bear,s61|s25|s86|s100,4,0.0330634647,0.0097171941,7.8779,0.0,-7.7447,44,36.3636,0.103284,-10.7217,0.0,-11.8331,8,0.0,-0.012542
fa6593da,bear,s86|s67|s23|s20|s29,5,0.0285877075,0.0128469226,6.9717,0.0,-8.7819,35,45.7143,0.097079,-8.4418,0.0,-9.8801,5,0.0,-0.006341
aa5e367f,bear,s37|s81|s23|s97|s20,5,0.0255015332,0.0126202943,3.9045,0.0,-8.3905,36,47.2222,0.095121,-8.8978,0.0,-9.7813,8,12.5,-0.00439
59c58bd3,bear,s72|s16|s86|s100|s76,5,0.0339059039,0.0125644162,5.9099,0.0,-9.2554,42,40.4762,0.098534,-10.1639,0.0,-12.2796,9,11.1111,-0.007949
c620ba3b,bear,s23|s50|s101|s16|s31,5,0.028315831,0.0171228538,2.7011,0.0,-11.9086,39,48.7179,0.094561,-8.9245,0.0,-11.8957,7,14.2857,-0.003994
7bebbc6f,bear,s86|s90|s66|s23|s19,5,0.0318821657,0.0165669033,18.8179,0.0,-6.2699,19,63.1579,0.093456,-9.1181,0.0,-9.1181,7,14.2857,-0.002936
